CLIENTNUM,Income_Category,Total_Trans_Amt
779031033,$40K - $60K,1230
716302383,$40K - $60K,1581
718281408,$40K - $60K,1534
721333233,$60K - $80K,1612
794496033,$80K - $120K,1302
710519433,$80K - $120K,1439
814995933,Less than $40K,1724
721469433,$40K - $60K,1784
717198633,$40K - $60K,2556
767695083,$80K - $120K,1590
711791583,Less than $40K,884
712315683,Less than $40K,973
710038008,$40K - $60K,1447
789129033,$80K - $120K,1150
718349058,$80K - $120K,1193
789842283,$60K - $80K,706
714513033,$40K - $60K,1257
714717483,Unknown,1303
714900408,Less than $40K,1306
719418933,$80K - $120K,748
720115683,$80K - $120K,1774
779504058,Less than $40K,1209
795979833,Less than $40K,1074
717392358,$80K - $120K,1786
718640508,Less than $40K,1456
803366358,$60K - $80K,1300
709230708,Less than $40K,1470
781794708,$80K - $120K,715
801383808,$60K - $80K,1198
710677608,$80K - $120K,1556
708217758,$60K - $80K,1606
714272658,Less than $40K,929
717469158,$80K - $120K,1606
711864783,$60K - $80K,1199
719407983,Less than $40K,2400
710665533,Unknown,1337
716804283,$120K +,1270
767294658,$120K +,654
709122483,$60K - $80K,1909
708241233,Less than $40K,922
717860358,$40K - $60K,1158
789337233,$40K - $60K,1323
720902133,$40K - $60K,1025
721043058,$60K - $80K,1700
711870333,$80K - $120K,1628
708398283,$40K - $60K,1377
715878183,$80K - $120K,1517
719451483,Less than $40K,1528
709110633,$80K - $120K,1329
721059033,$40K - $60K,1505
779912283,$40K - $60K,1172
717701733,$80K - $120K,1646
709913733,Less than $40K,1693
718768158,$40K - $60K,1336
721375308,$80K - $120K,1289
711374283,$80K - $120K,1416
822893133,Unknown,1608
778465533,Less than $40K,1885
712138983,$60K - $80K,1744
716920908,$80K - $120K,1922
708095133,$120K +,1448
711195558,$40K - $60K,1300
772735758,Unknown,1366
712024908,Less than $40K,1439
778239933,Unknown,1241
714893733,$80K - $120K,1917
754886958,$40K - $60K,1391
710104908,Less than $40K,1246
710558883,$60K - $80K,1248
713827383,Less than $40K,1936
720267033,$80K - $120K,2375
712049208,$60K - $80K,1238
708688608,Less than $40K,1626
716223708,Unknown,791
713217858,Less than $40K,1204
819352983,$120K +,1300
711019308,$60K - $80K,1612
768600558,$40K - $60K,1071
710202783,$60K - $80K,1378
712899333,Less than $40K,1100
767036433,Less than $40K,2052
793473033,$60K - $80K,1349
719443683,$120K +,1149
715449333,$40K - $60K,2354
717998058,Less than $40K,2644
779610033,$80K - $120K,918
721183983,$120K +,1222
718426533,$60K - $80K,1364
710698233,$80K - $120K,1463
780253533,Less than $40K,1631
719229708,$40K - $60K,1489
715158483,Less than $40K,1437
809296308,$80K - $120K,1313
778176108,$60K - $80K,1290
796532958,Less than $40K,1975
709345008,Unknown,807
717049533,$40K - $60K,1438
719366358,$120K +,1233
721417233,$60K - $80K,709
711622683,$60K - $80K,1597
714578283,$60K - $80K,1283
769574883,$40K - $60K,1101
717643608,$80K - $120K,1593
709198158,Less than $40K,1631
712419708,Less than $40K,2194
709103358,Less than $40K,1128
716966808,$80K - $120K,1497
772264383,$120K +,1385
721057758,Unknown,1449
769137108,Less than $40K,974
717640083,$60K - $80K,731
716445783,Unknown,1191
718715583,Less than $40K,1256
778686408,$60K - $80K,1744
715015683,$40K - $60K,1766
805254708,Unknown,2229
710462433,$60K - $80K,1773
721342383,$80K - $120K,1860
720179883,$80K - $120K,1179
794977533,$60K - $80K,906
779445108,$40K - $60K,2781
718193958,Less than $40K,1650
710955633,Less than $40K,1446
716149383,$60K - $80K,1703
752604633,$40K - $60K,761
713889933,$40K - $60K,1536
709446783,$60K - $80K,1373
789115833,$60K - $80K,1256
711242058,$80K - $120K,643
709040508,$120K +,2244
708864708,$80K - $120K,1409
717758583,$60K - $80K,1469
715416633,$80K - $120K,1847
717956283,$40K - $60K,1277
721379433,$60K - $80K,1227
712027683,Less than $40K,1336
716027208,$60K - $80K,1110
720475233,Less than $40K,1474
712275108,$40K - $60K,1955
718121658,$60K - $80K,660
711593808,$60K - $80K,888
716222808,Less than $40K,1785
718731183,$40K - $60K,705
788779008,$60K - $80K,1211
710404533,$80K - $120K,1391
711173058,Unknown,1407
715383108,$120K +,1616
711697158,Less than $40K,1498
709186983,$80K - $120K,1536
808964433,Less than $40K,1594
711948333,$80K - $120K,1190
710541858,Less than $40K,1248
713865333,Less than $40K,827
797707008,Less than $40K,920
713490483,$80K - $120K,1755
720370533,$60K - $80K,804
779743908,$60K - $80K,1196
718675158,Less than $40K,850
710784333,$120K +,1644
816596583,$80K - $120K,1749
717517758,$40K - $60K,2307
712880283,$40K - $60K,1757
753226158,Less than $40K,1826
720605808,Less than $40K,799
758317233,Unknown,2121
711028308,Less than $40K,1468
814852533,$80K - $120K,1482
711526533,$80K - $120K,1726
804403908,$60K - $80K,1806
716999883,$80K - $120K,1405
716452083,Less than $40K,2052
787599258,Less than $40K,1175
714495258,Less than $40K,1786
717713283,Less than $40K,1675
789317883,$80K - $120K,1200
714500883,Unknown,1283
789467508,$40K - $60K,1937
710317758,Unknown,2033
711231558,$60K - $80K,1915
716829483,$40K - $60K,1988
779713608,$120K +,1648
711628458,Less than $40K,1902
718943508,$80K - $120K,1454
770724558,$60K - $80K,838
783561558,$120K +,1918
719309958,$80K - $120K,837
788785083,Less than $40K,4311
780481308,Unknown,1567
711757383,Less than $40K,1905
787550808,$40K - $60K,1422
779863533,$80K - $120K,1680
714529233,Less than $40K,1652
812019933,$40K - $60K,1797
708557358,$60K - $80K,1911
713580633,$40K - $60K,1260
711466533,Less than $40K,1489
802276683,$80K - $120K,1794
780913308,$60K - $80K,1510
808897683,$80K - $120K,3231
719428308,$60K - $80K,1274
713010483,$40K - $60K,1572
717006333,$80K - $120K,1935
787621158,$60K - $80K,2187
716924058,$40K - $60K,1417
720916683,$80K - $120K,1465
720923658,$60K - $80K,1570
712710708,$40K - $60K,1445
718939083,Less than $40K,694
719085933,$80K - $120K,2447
715124958,$80K - $120K,1306
712979133,$80K - $120K,646
712006308,Less than $40K,1236
710801133,$60K - $80K,2513
712490283,$40K - $60K,2091
720071583,Less than $40K,854
717958833,$60K - $80K,1848
812420358,Less than $40K,949
712370208,$60K - $80K,1371
715940358,Less than $40K,1804
715041333,$60K - $80K,1605
712797258,$120K +,1463
769170558,$60K - $80K,1279
715884858,$80K - $120K,1470
796343058,Less than $40K,1265
783910008,Less than $40K,2002
718888308,$80K - $120K,1475
709852908,Less than $40K,1628
823528833,Less than $40K,1337
719679858,$40K - $60K,1135
827108583,$120K +,1161
787833333,$80K - $120K,1571
719781183,$80K - $120K,1916
710429358,$40K - $60K,1346
798792408,$80K - $120K,805
710280558,$60K - $80K,1195
809825358,Less than $40K,1155
714451833,Less than $40K,1431
713943783,$60K - $80K,1194
710706558,Less than $40K,1154
713620308,Less than $40K,1232
813453408,Less than $40K,1269
818248383,$60K - $80K,1742
780106908,$80K - $120K,1379
708938508,$40K - $60K,1870
709671708,$80K - $120K,1207
711204483,$60K - $80K,781
801728658,$60K - $80K,1773
713945883,Less than $40K,864
788370258,$60K - $80K,1830
714927333,Unknown,1542
798007308,Unknown,1175
711768858,$80K - $120K,1383
714888633,$80K - $120K,1837
712650333,$60K - $80K,1191
719945433,$40K - $60K,1793
720310458,$120K +,1560
718344033,$120K +,1564
715442958,$60K - $80K,1843
780326883,$60K - $80K,2165
711157833,$40K - $60K,1631
719704308,$40K - $60K,1265
708772308,$80K - $120K,1455
817663908,$40K - $60K,1137
780054258,$40K - $60K,1367
709990983,$40K - $60K,1292
818045958,$40K - $60K,1682
716380683,Less than $40K,1598
787480158,Less than $40K,1555
778461408,$80K - $120K,2409
713861733,$80K - $120K,1770
789291633,$60K - $80K,1526
789513858,$40K - $60K,891
778357458,Less than $40K,1756
718325883,$40K - $60K,1241
720344658,$80K - $120K,1681
809292483,Less than $40K,1224
779791008,$80K - $120K,1572
779557533,$80K - $120K,1566
795904233,Unknown,1579
710573808,$60K - $80K,1334
717418158,$120K +,1230
771963708,$60K - $80K,767
712433508,Unknown,724
779320983,$80K - $120K,1638
718093233,Less than $40K,1349
719459358,$120K +,1751
717728808,Less than $40K,1414
788701608,Less than $40K,1260
778506633,Less than $40K,965
719989008,Unknown,1121
791839233,Unknown,1411
716918508,$40K - $60K,1602
717321783,$60K - $80K,1617
799000008,$120K +,1244
721517208,Less than $40K,1263
719068683,$40K - $60K,1036
709120008,$60K - $80K,1217
709117533,$80K - $120K,1556
816594183,$40K - $60K,2005
789485433,$80K - $120K,1698
712881483,$80K - $120K,2041
712689333,$80K - $120K,1102
771492408,Less than $40K,1346
711668283,$80K - $120K,1511
772684833,Less than $40K,1761
712960308,Less than $40K,2117
713530833,$40K - $60K,596
756065433,$40K - $60K,2560
711146358,Unknown,1759
716144058,$40K - $60K,1886
778699908,$60K - $80K,915
711676908,Unknown,1870
719315508,$40K - $60K,1557
778623858,$80K - $120K,1824
714665733,$60K - $80K,1294
816089433,$60K - $80K,1545
716991933,Less than $40K,820
714534108,$40K - $60K,1675
787456608,$80K - $120K,1678
717090183,$120K +,2117
772782708,$80K - $120K,1721
710722908,$120K +,1267
795155433,$80K - $120K,1562
715271733,Less than $40K,1193
771706308,$80K - $120K,1254
713989233,Unknown,1731
780198258,$120K +,1099
802002858,Unknown,747
716290233,$40K - $60K,1352
828298908,$120K +,1770
788946783,$120K +,1812
720697908,$40K - $60K,1673
780598383,$40K - $60K,2167
715345833,Less than $40K,2369
710831133,$80K - $120K,1582
766706358,Less than $40K,1800
816533733,$80K - $120K,1567
712373208,$60K - $80K,647
721433283,$40K - $60K,1447
720680058,Less than $40K,1145
716909283,$80K - $120K,3280
754654383,Less than $40K,1577
719226333,$60K - $80K,1140
779759058,$120K +,1736
715783758,$120K +,1513
771190083,Less than $40K,2505
713135883,Unknown,1723
778799583,Less than $40K,1695
808796208,$40K - $60K,1532
708313608,$80K - $120K,2110
779330208,Less than $40K,1807
794498733,$120K +,1687
807964908,$60K - $80K,1481
823845783,$120K +,1318
711748983,$60K - $80K,1946
718064283,$60K - $80K,1481
710492733,$40K - $60K,2168
779016408,Less than $40K,1583
717787533,Less than $40K,1229
714851058,$40K - $60K,1718
823535133,$80K - $120K,1402
708455883,$80K - $120K,1127
780095808,$60K - $80K,1053
709207458,$40K - $60K,1340
763895958,$120K +,732
715942683,Less than $40K,2346
721301733,$80K - $120K,1580
711927108,$80K - $120K,1196
718083483,Less than $40K,2086
717548358,Less than $40K,1665
816829608,$80K - $120K,1495
713936583,$60K - $80K,2187
709682658,$40K - $60K,1371
793889508,$40K - $60K,1235
714648933,Unknown,1556
711556533,Unknown,1212
717420333,$60K - $80K,2701
768921933,$60K - $80K,1750
714311583,Unknown,1610
717707133,$40K - $60K,2184
716043258,$40K - $60K,1745
716343408,$80K - $120K,1381
718909158,Less than $40K,1793
719471433,Less than $40K,1831
712763808,$60K - $80K,1468
711147483,Less than $40K,1097
719788833,$60K - $80K,1682
715168983,Less than $40K,1451
714306258,$60K - $80K,1509
713828208,$60K - $80K,1895
710574558,$80K - $120K,1403
710947683,Less than $40K,1420
711113958,Less than $40K,1717
712672083,Less than $40K,948
719863758,$40K - $60K,1549
720990183,$60K - $80K,965
720718908,$120K +,1958
721250358,$40K - $60K,1266
779773533,Less than $40K,1367
708249708,Less than $40K,1489
713967783,Unknown,1582
779506158,Less than $40K,2516
759823158,$60K - $80K,1557
716608608,$80K - $120K,1084
789528183,Unknown,2583
708895158,$80K - $120K,1371
824805858,Less than $40K,1537
720840108,Less than $40K,3753
787595658,Less than $40K,1104
720244983,$40K - $60K,1482
713220258,Unknown,1299
813469458,$40K - $60K,2167
788939358,$60K - $80K,1563
718870158,$60K - $80K,1772
788673708,$40K - $60K,1254
711809283,Less than $40K,2229
816513108,$60K - $80K,2195
718594608,Unknown,1362
823606983,$60K - $80K,2398
717028158,$120K +,2649
788485908,$60K - $80K,1463
714472608,Less than $40K,1174
710793783,Unknown,1836
794340033,$40K - $60K,1817
716462658,$80K - $120K,1387
718050033,$120K +,2028
714023808,Unknown,1582
716341833,Less than $40K,1774
719648358,$80K - $120K,1636
816600933,$80K - $120K,1031
714208533,$60K - $80K,916
713095533,Less than $40K,1198
809967783,$40K - $60K,2189
715848408,$80K - $120K,1257
714414483,Less than $40K,1503
708655983,Unknown,1353
720426708,$60K - $80K,811
713743158,$60K - $80K,1270
721279083,$80K - $120K,1840
779149683,Unknown,2585
714970458,$40K - $60K,1807
715490733,Unknown,1211
714989583,$60K - $80K,1763
820355433,$40K - $60K,1395
715901508,$80K - $120K,1843
710370483,Less than $40K,1517
778573233,Less than $40K,1977
708833133,Less than $40K,2027
719885883,$120K +,1497
712523283,$120K +,1134
711309033,$60K - $80K,3663
708134283,Less than $40K,1483
720147633,$40K - $60K,1956
708983658,$120K +,940
766285608,$40K - $60K,2183
779715108,$80K - $120K,2920
798035358,Less than $40K,1221
719391783,$40K - $60K,1790
809342208,Unknown,2005
780713058,$60K - $80K,3490
779338683,$60K - $80K,1904
783387783,$60K - $80K,1647
787800108,$80K - $120K,1903
721397808,$40K - $60K,1564
778698408,Less than $40K,1686
709545333,Unknown,2412
716032233,$80K - $120K,3981
717835908,$80K - $120K,2730
719466558,Unknown,1361
778663458,Less than $40K,821
716024808,$80K - $120K,938
713008308,Less than $40K,1861
794831733,Less than $40K,1345
713854608,$60K - $80K,2444
715993608,$120K +,1686
789368658,$80K - $120K,1468
802817358,Unknown,2320
708098133,Less than $40K,1598
801499908,Less than $40K,1232
824770683,Less than $40K,4027
718310733,$80K - $120K,1922
708162558,Unknown,1355
721129383,Less than $40K,2361
721249158,$60K - $80K,708
721049658,$80K - $120K,1687
806392908,Unknown,1212
714886533,Less than $40K,1752
772375533,$80K - $120K,1560
826775058,Less than $40K,1520
711878733,$60K - $80K,1685
714550383,$40K - $60K,1678
712636308,$40K - $60K,1627
772139433,$40K - $60K,1637
709058808,Less than $40K,1707
813240408,Unknown,1208
767753958,$40K - $60K,1881
710111733,$80K - $120K,1360
761544333,$40K - $60K,1641
788814783,$60K - $80K,1820
715034358,$120K +,1505
709624533,Less than $40K,1627
709942383,$80K - $120K,1703
803957508,$80K - $120K,1433
709217358,$80K - $120K,1665
721051908,$60K - $80K,1393
715232058,$40K - $60K,1820
806250783,Less than $40K,2742
817245183,$120K +,1979
713670333,Less than $40K,1378
826477083,Less than $40K,1520
788728608,$40K - $60K,1588
717190533,$60K - $80K,1282
716580033,$120K +,1872
711644508,$80K - $120K,2295
714334383,$60K - $80K,1065
720611058,$120K +,1550
712420833,Unknown,1527
713845083,Less than $40K,1489
713756508,Less than $40K,1264
735565158,$60K - $80K,1582
714131058,$60K - $80K,1567
717180633,$40K - $60K,1704
717295683,$80K - $120K,1546
713128833,$60K - $80K,1478
813499458,$60K - $80K,2132
710070183,Less than $40K,1419
789605658,$40K - $60K,1065
710164683,$60K - $80K,2247
710802258,Less than $40K,1111
721036233,$60K - $80K,1836
710036508,$40K - $60K,1164
717776808,Less than $40K,2005
714906033,Less than $40K,1588
714273708,$40K - $60K,2242
721117533,Less than $40K,1415
715374558,Less than $40K,2483
824807658,$60K - $80K,1239
714940608,$40K - $60K,2057
824782008,$60K - $80K,1228
717561108,$80K - $120K,1629
717127083,$120K +,2076
772460508,$40K - $60K,1231
720484908,$40K - $60K,1655
771237933,$80K - $120K,1477
794664183,$60K - $80K,1501
797488158,$60K - $80K,1313
708543258,$80K - $120K,2045
778706508,$60K - $80K,1448
712240083,Less than $40K,858
713650683,Less than $40K,1591
772532208,Less than $40K,842
778929783,$80K - $120K,781
714244383,$80K - $120K,1529
718797558,Unknown,2422
712821333,$60K - $80K,1825
721120008,$40K - $60K,1555
709633533,Less than $40K,2789
710789058,$120K +,1308
716174433,Less than $40K,2489
789886533,Less than $40K,1110
715210308,Unknown,1260
721038408,Less than $40K,1741
713325108,$60K - $80K,1845
720352533,$60K - $80K,1483
708431433,$120K +,1463
716996583,$120K +,1734
716604633,$40K - $60K,1865
813952233,Less than $40K,1413
713053383,$80K - $120K,853
709979583,$120K +,1999
709380333,$120K +,1671
778574283,$40K - $60K,2118
789875883,Less than $40K,1391
714661233,$120K +,1729
813915933,$40K - $60K,1393
824761458,$80K - $120K,2489
715362183,Unknown,1688
721194858,$80K - $120K,1725
803595858,$40K - $60K,594
716198358,$40K - $60K,1852
714173808,Less than $40K,1389
709465758,Less than $40K,902
714081558,Unknown,1387
717364458,Less than $40K,2053
